db_name,ionized_mass;
DG 40:9 [M+H-H2O]+,645.4877;
DG 42:1 [M+H-H2O]+,689.6442;
DG 42:10 [M+H-H2O]+,671.5034;
DG 42:2 [M+H-H2O]+,687.6286;
DG 42:3 [M+H-H2O]+,685.6129;
DG 42:4 [M+H-H2O]+,683.5973;
DG 42:5 [M+H-H2O]+,681.5816;
DG 42:6 [M+H-H2O]+,679.5660;
DG 42:7 [M+H-H2O]+,677.5503;
DG 42:8 [M+H-H2O]+,675.5347;
DG 42:9 [M+H-H2O]+,673.5190;
DG 44:10 [M+H-H2O]+,699.5347;
DG 44:11 [M+H-H2O]+,697.5190;
DG 44:12 [M+H-H2O]+,695.5034;
DG 44:2 [M+H-H2O]+,715.6599;
DG 44:5 [M+H-H2O]+,709.6129;
DG 44:6 [M+H-H2O]+,707.5973;
DG 44:7 [M+H-H2O]+,705.5816;
DG 44:8 [M+H-H2O]+,703.5660;
DG 44:9 [M+H-H2O]+,701.5503;
Hex2Cer 32:1;O2 [M+H]+,834.5937
Hex2Cer 32:1;O2 [M+H-H2O]+,816.5832
Hex2Cer 32:2;O2 [M+H]+,832.5781
Hex2Cer 32:2;O2 [M+H-H2O]+,814.5675
Hex2Cer 33:1;O2 [M+H]+,848.6094
Hex2Cer 33:1;O2 [M+H-H2O]+,830.5988
Hex2Cer 34:1;O2 [M+H]+,862.6250
Hex2Cer 34:1;O2 [M+H-H2O]+,844.6145
Hex2Cer 34:2;O2 [M+H]+,860.6094
Hex2Cer 34:2;O2 [M+H-H2O]+,842.5988
Hex2Cer 35:1;O2 [M+H]+,876.6407
Hex2Cer 35:1;O2 [M+H-H2O]+,858.6301
Hex2Cer 35:2;O2 [M+H]+,874.6250
Hex2Cer 35:2;O2 [M+H-H2O]+,856.6145
Hex2Cer 36:1;O2 [M+H]+,890.6563
Hex2Cer 36:1;O2 [M+H-H2O]+,872.6458
Hex2Cer 36:2;O2 [M+H]+,888.6407
Hex2Cer 36:2;O2 [M+H-H2O]+,870.6301
Hex2Cer 36:3;O2 [M+H]+,886.6250
Hex2Cer 36:3;O2 [M+H-H2O]+,868.6145
Hex2Cer 38:1;O2 [M+H]+,918.6876
