db_name,ionized_mass;
PE O-38:5 / PE P-38:4 [M-H],750.5443;
PE O-38:6 / PE P-38:5 [M-H],748.5287;
PE O-38:7 / PE P-38:6 [M-H],746.513;
PE O-38:8 / PE P-38:7 [M-H],744.4974;
PE O-38:9 / PE P-38:8 [M-H],742.4817;
PE O-40:0 [M-H],788.6539;
PE O-40:1 / PE P-40:0 [M-H],786.6382;
PE O-40:10 / PE P-40:9 [M-H],768.4974;
PE O-40:2 / PE P-40:1 [M-H],784.6226;
PE O-40:3 / PE P-40:2 [M-H],782.6069;
PE O-40:4 / PE P-40:3 [M-H],780.5913;
PE O-40:5 / PE P-40:4 [M-H],778.5756;
PE O-40:6 / PE P-40:5 [M-H],776.56;
PE O-40:7 / PE P-40:6 [M-H],774.5443;
PE O-40:8 / PE P-40:7 [M-H],772.5287;
PE O-40:9 / PE P-40:8 [M-H],770.513;
PE O-42:1 / PE P-42:0 [M-H],814.6695;
PE O-42:10 / PE P-42:9 [M-H],796.5287;
PE O-42:11 / PE P-42:10 [M-H],794.513;
PE O-42:2 / PE P-42:1 [M-H],812.6539;
PE O-42:3 / PE P-42:2 [M-H],810.6382;
PE O-42:4 / PE P-42:3 [M-H],808.6226;
PE O-42:5 / PE P-42:4 [M-H],806.6069;
PE O-42:6 / PE P-42:5 [M-H],804.5913;
PE O-42:7 / PE P-42:6 [M-H],802.5756;
PE O-42:8 / PE P-42:7 [M-H],800.56;
PE O-42:9 / PE P-42:8 [M-H],798.5443;
PE O-44:10 / PE P-44:9 [M-H],824.56;
PE O-44:11 / PE P-44:10 [M-H],822.5443;
PE O-44:12 / PE P-44:11 [M-H],820.5287;
PE O-44:2 / PE P-44:1 [M-H],840.6852;
PE O-44:5 / PE P-44:4 [M-H],834.6382;
PE O-44:6 / PE P-44:5 [M-H],832.6226;
PE O-44:7 / PE P-44:6 [M-H],830.6069;
PE O-44:8 / PE P-44:7 [M-H],828.5913;
PE O-44:9 / PE P-44:8 [M-H],826.5756;
PG 28:0 [M-H],665.4399;
PG 28:1 [M-H],663.4243;
PG 30:0 [M-H],693.4712;
PG 30:1 [M-H],691.4556;
PG 30:2 [M-H],689.4399;
PG 32:0 [M-H],721.5025;
PG 32:1 [M-H],719.4869;
PG 32:2 [M-H],717.4712;
PG 32:3 [M-H],715.4556;
PG 34:0 [M-H],749.5338;
PG 34:1 [M-H],747.5182;
PG 34:2 [M-H],745.5025;
PG 34:3 [M-H],743.4869;
PG 34:4 [M-H],741.4712;
PG 36:0 [M-H],777.5651;
PG 36:1 [M-H],775.5495;
PG 36:2 [M-H],773.5338;
PG 36:3 [M-H],771.5182;
PG 36:4 [M-H],769.5025;
PG 36:5 [M-H],767.4869;
PG 36:6 [M-H],765.4712;
PG 38:0 [M-H],805.5964;
PG 38:1 [M-H],803.5808;
PG 38:2 [M-H],801.5651;
PG 38:3 [M-H],799.5495;
PG 38:4 [M-H],797.5338;
PG 38:5 [M-H],795.5182;
PG 38:6 [M-H],793.5025;
PG 38:7 [M-H],791.4869;
PG 40:0 [M-H],833.6277;
PG 40:1 [M-H],831.6121;
PG 40:10 [M-H],813.4712;
PG 40:2 [M-H],829.5964;
PG 40:3 [M-H],827.5808;
PG 40:4 [M-H],825.5651;
PG 40:5 [M-H],823.5495;
PG 40:6 [M-H],821.5338;
PG 40:7 [M-H],819.5182;
PG 40:8 [M-H],817.5025;
PG 40:9 [M-H],815.4869;
PG 42:1 [M-H],859.6434;
PG 42:10 [M-H],841.5025;
PG 42:11 [M-H],839.4869;
PG 42:2 [M-H],857.6277;
PG 42:3 [M-H],855.6121;
PG 42:4 [M-H],853.5964;
PG 42:5 [M-H],851.5808;
PG 42:6 [M-H],849.5651;
PG 42:7 [M-H],847.5495;
PG 42:8 [M-H],845.5338;
PG 42:9 [M-H],843.5182;
PG 44:10 [M-H],869.5338;
PG 44:11 [M-H],867.5182;
PG 44:12 [M-H],865.5025;
PG 44:2 [M-H],885.659;
PG 44:5 [M-H],879.6121;
PG 44:6 [M-H],877.5964;
PG 44:7 [M-H],875.5808;
PG 44:8 [M-H],873.5651;
PG 44:9 [M-H],871.5495;
PI 28:0 [M-H],753.456;
PI 28:1 [M-H],751.4403;
PI 28:2 [M-H],749.4247;
PI 30:0 [M-H],781.4873;
PI 30:1 [M-H],779.4716;
PI 30:2 [M-H],777.456;
PI 32:0 [M-H],809.5186;
PI 32:1 [M-H],807.5029;
PI 32:2 [M-H],805.4873;
PI 32:3 [M-H],803.4716;
PI 34:0 [M-H],837.5499;
PI 34:1 [M-H],835.5342;
PI 34:2 [M-H],833.5186;
PI 34:3 [M-H],831.5029;
PI 34:4 [M-H],829.4873;
PI 36:0 [M-H],865.5812;
PI 36:1 [M-H],863.5655;
PI 36:2 [M-H],861.5499;
PI 36:3 [M-H],859.5342;
PI 36:4 [M-H],857.5186;
PI 36:5 [M-H],855.5029;
PI 36:6 [M-H],853.4873;
PI 36:7 [M-H],851.4716;
PI 38:0 [M-H],893.6125;
PI 38:1 [M-H],891.5968;
PI 38:2 [M-H],889.5812;
PI 38:3 [M-H],887.5655;
PI 38:4 [M-H],885.5499;
PI 38:5 [M-H],883.5342;
PI 38:6 [M-H],881.5186;
PI 38:7 [M-H],879.5029;
PI 40:0 [M-H],921.6438;
PI 40:1 [M-H],919.6281;
PI 40:10 [M-H],901.4873;
PI 40:2 [M-H],917.6125;
PI 40:3 [M-H],915.5968;
PI 40:4 [M-H],913.5812;
PI 40:5 [M-H],911.5655;
PI 40:6 [M-H],909.5499;
PI 40:7 [M-H],907.5342;
PI 40:8 [M-H],905.5186;
PI 40:9 [M-H],903.5029;
PI 42:1 [M-H],947.6594;
PI 42:10 [M-H],929.5186;
PI 42:11 [M-H],927.5029;
PI 42:2 [M-H],945.6438;
PI 42:3 [M-H],943.6281;
PI 42:4 [M-H],941.6125;
PI 42:5 [M-H],939.5968;
PI 42:6 [M-H],937.5812;
PI 42:7 [M-H],935.5655;
PI 42:8 [M-H],933.5499;
PI 42:9 [M-H],931.5342;
PI 44:10 [M-H],957.5499;
PI 44:11 [M-H],955.5342;
PI 44:12 [M-H],953.5186;
PI 44:2 [M-H],973.6751;
PI 44:5 [M-H],967.6281;
PI 44:6 [M-H],965.6125;
PI 44:7 [M-H],963.5968;
PI 44:8 [M-H],961.5812;
PI 44:9 [M-H],959.5655;
PS 28:0 [M-H],678.4352;
PS 28:1 [M-H],676.4195;
PS 30:0 [M-H],706.4665;
PS 30:1 [M-H],704.4508;
PS 30:2 [M-H],702.4352;
PS 32:0 [M-H],734.4978;
PS 32:1 [M-H],732.4821;
PS 32:2 [M-H],730.4665;
PS 32:3 [M-H],728.4508;
PS 34:0 [M-H],762.5291;
PS 34:1 [M-H],760.5134;
PS 34:2 [M-H],758.4978;
PS 34:3 [M-H],756.4821;
PS 34:4 [M-H],754.4665;
PS 36:0 [M-H],790.5604;
PS 36:1 [M-H],788.5447;
PS 36:2 [M-H],786.5291;
PS 36:3 [M-H],784.5134;
PS 36:4 [M-H],782.4978;
PS 36:5 [M-H],780.4821;
PS 36:6 [M-H],778.4665;
PS 38:0 [M-H],818.5917;
PS 38:1 [M-H],816.576;
PS 38:2 [M-H],814.5604;
PS 38:3 [M-H],812.5447;
PS 38:4 [M-H],810.5291;
PS 38:5 [M-H],808.5134;
PS 38:6 [M-H],806.4978;
PS 38:7 [M-H],804.4821;
PS 40:0 [M-H],846.623;
PS 40:1 [M-H],844.6073;
PS 40:10 [M-H],826.4665;
PS 40:2 [M-H],842.5917;
PS 40:3 [M-H],840.576;
PS 40:4 [M-H],838.5604;
PS 40:5 [M-H],836.5447;
PS 40:6 [M-H],834.5291;
PS 40:7 [M-H],832.5134;
PS 40:8 [M-H],830.4978;
PS 40:9 [M-H],828.4821;
PS 42:1 [M-H],872.6386;
PS 42:10 [M-H],854.4978;
PS 42:11 [M-H],852.4821;
PS 42:2 [M-H],870.623;
PS 42:3 [M-H],868.6073;
PS 42:4 [M-H],866.5917;
PS 42:5 [M-H],864.576;
PS 42:6 [M-H],862.5604;
PS 42:7 [M-H],860.5447;
PS 42:8 [M-H],858.5291;
PS 42:9 [M-H],856.5134;
PS 44:10 [M-H],882.5291;
PS 44:11 [M-H],880.5134;
PS 44:12 [M-H],878.4978;
PS 44:2 [M-H],898.6543;
PS 44:5 [M-H],892.6073;
PS 44:6 [M-H],890.5917;
PS 44:7 [M-H],888.576;
PS 44:8 [M-H],886.5604;
PS 44:9 [M-H],884.5447;
SHex2Cer 32:1;O2 [M-H],912.536
SHex2Cer 33:1;O2 [M-H],926.5516
SHex2Cer 34:1;O2 [M-H],940.5673
SHex2Cer 34:1;O3 [M-H],956.5622
SHex2Cer 34:2;O2 [M-H],938.5516
SHex2Cer 36:1;O2 [M-H],968.5986
SHex2Cer 36:1;O3 [M-H],984.5935
SHex2Cer 36:2;O2 [M-H],966.5829
SHex2Cer 38:1;O2 [M-H],996.6299
SHex2Cer 38:1;O3 [M-H],1012.625
SHex2Cer 38:2;O2 [M-H],994.6142
SHex2Cer 39:1;O2 [M-H],1010.646
SHex2Cer 40:0;O3 [M-H],1042.672
SHex2Cer 40:1;O2 [M-H],1024.661
SHex2Cer 40:1;O3 [M-H],1040.656
SHex2Cer 40:2;O2 [M-H],1022.646
SHex2Cer 40:2;O3 [M-H],1038.64
SHex2Cer 40:3;O2 [M-H],1020.63
SHex2Cer 41:1;O2 [M-H],1038.677
SHex2Cer 41:2;O2 [M-H],1036.661
SHex2Cer 41:3;O2 [M-H],1034.646
SHex2Cer 42:0;O3 [M-H],1070.703
SHex2Cer 42:1;O2 [M-H],1052.693
SHex2Cer 42:1;O3 [M-H],1068.687
SHex2Cer 42:1;O4 [M-H],1084.682
SHex2Cer 42:2;O2 [M-H],1050.677
SHex2Cer 42:2;O3 [M-H],1066.672
SHex2Cer 42:3;O2 [M-H],1048.661
SHex2Cer 42:3;O3 [M-H],1064.656
SHex2Cer 42:4;O2 [M-H],1046.646
SHex2Cer 43:1;O2 [M-H],1066.708
SHex2Cer 43:2;O2 [M-H],1064.693
SHex2Cer 43:2;O3 [M-H],1080.687
SHex2Cer 44:1;O2 [M-H],1080.724
SHex2Cer 44:2;O2 [M-H],1078.708
SHex2Cer 44:2;O3 [M-H],1094.703
SHex2Cer 44:3;O2 [M-H],1076.693
SHex2Cer 44:4;O2 [M-H],1074.677
SHexCer 34:0;O3 [M-H],796.525
SHexCer 34:1;O2 [M-H],778.5145
SHexCer 34:1;O3 [M-H],794.5094
SHexCer 34:2;O2 [M-H],776.4988
SHexCer 34:2;O3 [M-H],792.4937
SHexCer 36:1;O2 [M-H],806.5458
SHexCer 36:1;O3 [M-H],822.5407
SHexCer 36:2;O2 [M-H],804.5301
SHexCer 36:2;O3 [M-H],820.525
SHexCer 38:0;O3 [M-H],852.5876
SHexCer 38:0;O4 [M-H],868.5825
SHexCer 38:1;O2 [M-H],834.5771
SHexCer 38:1;O3 [M-H],850.572
SHexCer 38:2;O2 [M-H],832.5614
SHexCer 38:2;O3 [M-H],848.5563
SHexCer 39:1;O2 [M-H],848.5927
SHexCer 39:1;O3 [M-H],864.5876
SHexCer 39:2;O2 [M-H],846.5771
SHexCer 40:0;O3 [M-H],880.6189
SHexCer 40:0;O4 [M-H],896.6138
SHexCer 40:1;O2 [M-H],862.6084
SHexCer 40:1;O3 [M-H],878.6033
SHexCer 40:2;O2 [M-H],860.5927
SHexCer 40:2;O3 [M-H],876.5876
SHexCer 40:3;O2 [M-H],858.5771
SHexCer 41:0;O3 [M-H],894.6346
SHexCer 41:0;O4 [M-H],910.6295
SHexCer 41:1;O2 [M-H],876.624
SHexCer 41:1;O3 [M-H],892.6189
SHexCer 41:2;O2 [M-H],874.6084
SHexCer 41:2;O3 [M-H],890.6033
SHexCer 42:0;O3 [M-H],908.6502
SHexCer 42:0;O4 [M-H],924.6451
SHexCer 42:1;O2 [M-H],890.6397
SHexCer 42:1;O3 [M-H],906.6346
SHexCer 42:1;O4 [M-H],922.6295
SHexCer 42:2;O2 [M-H],888.624
SHexCer 42:2;O3 [M-H],904.6189
SHexCer 42:2;O4 [M-H],920.6138
SHexCer 42:3;O2 [M-H],886.6084
SHexCer 42:3;O3 [M-H],902.6033
SHexCer 42:4;O2 [M-H],884.5927
SHexCer 43:0;O3 [M-H],922.6659
SHexCer 43:0;O4 [M-H],938.6608
SHexCer 43:1;O2 [M-H],904.6553
SHexCer 43:1;O3 [M-H],920.6502
SHexCer 43:1;O4 [M-H],936.6451
SHexCer 43:2;O2 [M-H],902.6397
SHexCer 43:2;O3 [M-H],918.6346
SHexCer 43:3;O2 [M-H],900.624
SHexCer 43:3;O3 [M-H],916.6189
SHexCer 44:0;O3 [M-H],936.6815
SHexCer 44:1;O2 [M-H],918.671
SHexCer 44:1;O3 [M-H],934.6659
SHexCer 44:1;O4 [M-H],950.6597
SHexCer 44:2;O2 [M-H],916.6553
SHexCer 44:2;O3 [M-H],932.6502
SHexCer 44:3;O2 [M-H],914.6397
