db_name,ionized_mass;
CL 86:7 [M-H]-,1646.199701;
CL 86:8 [M-H]-,1644.184051;
CL 86:9 [M-H]-,1642.168401;
CL 88:10 [M-H]-,1668.184051;
CL 88:11 [M-H]-,1666.168401;
CL 88:12 [M-H]-,1664.15275;
CL 88:13 [M-H]-,1662.1371;
CL 88:14 [M-H]-,1660.12145;
CL 88:15 [M-H]-,1658.1058;
CL 88:16 [M-H]-,1656.09015;
CL 88:17 [M-H]-,1654.0745;
CL 88:18 [M-H]-,1652.05885;
CL 88:19 [M-H]-,1650.0432;
CL 88:20 [M-H]-,1648.02755;
CL 88:21 [M-H]-,1646.0119;
CL 88:22 [M-H]-,1643.99625;
CL 88:23 [M-H]-,1641.9806;
CL 88:24 [M-H]-,1639.96495;
CL 88:4 [M-H]-,1680.277951;
CL 88:7 [M-H]-,1674.231001;
CL 88:8 [M-H]-,1672.215351;
CL 88:9 [M-H]-,1670.199701;
DLCL 28:0 [M-H]-,819.4430183;
DLCL 28:1 [M-H]-,817.4273682;
DLCL 28:2 [M-H]-,815.4117182;
DLCL 30:0 [M-H]-,847.4743184;
DLCL 30:1 [M-H]-,845.4586684;
DLCL 30:2 [M-H]-,843.4430183;
DLCL 32:0 [M-H]-,875.5056185;
DLCL 32:1 [M-H]-,873.4899685;
DLCL 32:2 [M-H]-,871.4743184;
DLCL 32:3 [M-H]-,869.4586684;
DLCL 32:4 [M-H]-,867.4430183;
DLCL 32:5 [M-H]-,865.4273682;
DLCL 34:0 [M-H]-,903.5369187;
DLCL 34:1 [M-H]-,901.5212686;
DLCL 34:2 [M-H]-,899.5056185;
DLCL 34:3 [M-H]-,897.4899685;
DLCL 34:4 [M-H]-,895.4743184;
DLCL 34:5 [M-H]-,893.4586684;
DLCL 34:6 [M-H]-,891.4430183;
DLCL 36:0 [M-H]-,931.5682188;
DLCL 36:1 [M-H]-,929.5525687;
DLCL 36:2 [M-H]-,927.5369187;
DLCL 36:3 [M-H]-,925.5212686;
DLCL 36:4 [M-H]-,923.5056185;
DLCL 36:5 [M-H]-,921.4899685;
DLCL 36:6 [M-H]-,919.4743184;
DLCL 36:7 [M-H]-,917.4586684;
DLCL 36:8 [M-H]-,915.4430183;
DLCL 38:0 [M-H]-,959.5995189;
DLCL 38:1 [M-H]-,957.5838689;
DLCL 38:2 [M-H]-,955.5682188;
DLCL 38:3 [M-H]-,953.5525687;
DLCL 38:4 [M-H]-,951.5369187;
DLCL 38:5 [M-H]-,949.5212686;
DLCL 38:6 [M-H]-,947.5056185;
DLCL 38:7 [M-H]-,945.4899685;
DLCL 38:8 [M-H]-,943.4743184;
DLCL 38:9 [M-H]-,941.4586684;
DLCL 40:0 [M-H]-,987.6308191;
DLCL 40:1 [M-H]-,985.615169;
DLCL 40:10 [M-H]-,967.4743184;
DLCL 40:2 [M-H]-,983.5995189;
DLCL 40:3 [M-H]-,981.5838689;
DLCL 40:4 [M-H]-,979.5682188;
DLCL 40:5 [M-H]-,977.5525687;
DLCL 40:6 [M-H]-,975.5369187;
DLCL 40:7 [M-H]-,973.5212686;
DLCL 40:8 [M-H]-,971.5056185;
DLCL 40:9 [M-H]-,969.4899685;
DLCL 42:1 [M-H]-,1013.646469;
DLCL 42:10 [M-H]-,995.5056185;
DLCL 42:11 [M-H]-,993.4899685;
DLCL 42:2 [M-H]-,1011.630819;
DLCL 42:3 [M-H]-,1009.615169;
DLCL 42:4 [M-H]-,1007.599519;
DLCL 42:5 [M-H]-,1005.583869;
DLCL 42:6 [M-H]-,1003.568219;
DLCL 42:7 [M-H]-,1001.552569;
DLCL 42:8 [M-H]-,999.5369187;
DLCL 42:9 [M-H]-,997.5212686;
DLCL 44:10 [M-H]-,1023.536919;
DLCL 44:11 [M-H]-,1021.521269;
DLCL 44:12 [M-H]-,1019.505619;
DLCL 44:2 [M-H]-,1039.662119;
DLCL 44:5 [M-H]-,1033.615169;
DLCL 44:6 [M-H]-,1031.599519;
DLCL 44:7 [M-H]-,1029.583869;
DLCL 44:8 [M-H]-,1027.568219;
DLCL 44:9 [M-H]-,1025.552569;
GD1 32:1;O2 [M-H]-,1779.902194
GD1 32:2;O2 [M-H]-,1777.886544
GD1 33:1;O2 [M-H]-,1793.917844
GD1 34:1;O2 [M-H]-,1807.933494
GD1 34:2;O2 [M-H]-,1805.917844
GD1 35:1;O2 [M-H]-,1821.949145
GD1 35:2;O2 [M-H]-,1819.933494
GD1 36:1;O2 [M-H]-,1835.964795
GD1 36:2;O2 [M-H]-,1833.949145
GD1 36:3;O2 [M-H]-,1831.933494
GD1 36:4;O2 [M-H]-,1829.917844
GD1 38:1;O2 [M-H]-,1863.996095
GD1 38:2;O2 [M-H]-,1861.980445
GD1 38:3;O2 [M-H]-,1859.964795
GD1 39:1;O2 [M-H]-,1878.011745
GD1 40:1;O2 [M-H]-,1892.027395
GD1 40:2;O2 [M-H]-,1890.011745
GD1 40:3;O2 [M-H]-,1887.996095
GD1 40:4;O2 [M-H]-,1885.980445
GD1 41:1;O2 [M-H]-,1906.043045
GD1 41:2;O2 [M-H]-,1904.027395
GD1 42:1;O2 [M-H]-,1920.058695
GD1 42:2;O2 [M-H]-,1918.043045
GD1 42:3;O2 [M-H]-,1916.027395
GD1 42:4;O2 [M-H]-,1914.011745
GD1 43:1;O2 [M-H]-,1934.074345
GD1 43:2;O2 [M-H]-,1932.058695
GD1 43:3;O2 [M-H]-,1930.043045
GD1 44:1;O2 [M-H]-,1948.089995
GD1 44:2;O2 [M-H]-,1946.074345
GD1 44:3;O2 [M-H]-,1944.058695
GD1 44:4;O2 [M-H]-,1942.043045
GD2 32:1;O2 [M-H]-,1617.849371
GD2 32:2;O2 [M-H]-,1615.833721
GD2 33:1;O2 [M-H]-,1631.865021
GD2 34:1;O2 [M-H]-,1645.880671
GD2 34:2;O2 [M-H]-,1643.865021
GD2 35:1;O2 [M-H]-,1659.896321
GD2 35:2;O2 [M-H]-,1657.880671
GD2 36:1;O2 [M-H]-,1673.911971
GD2 36:2;O2 [M-H]-,1671.896321
GD2 36:3;O2 [M-H]-,1669.880671
GD2 36:4;O2 [M-H]-,1667.865021
GD2 38:1;O2 [M-H]-,1701.943271
GD2 38:2;O2 [M-H]-,1699.927621
GD2 38:3;O2 [M-H]-,1697.911971
GD2 39:1;O2 [M-H]-,1715.958921
GD2 40:1;O2 [M-H]-,1729.974571
GD2 40:2;O2 [M-H]-,1727.958921
GD2 40:3;O2 [M-H]-,1725.943271
GD2 40:4;O2 [M-H]-,1723.927621
GD2 41:1;O2 [M-H]-,1743.990221
GD2 41:2;O2 [M-H]-,1741.974571
GD2 42:1;O2 [M-H]-,1758.005872
GD2 42:2;O2 [M-H]-,1755.990221
GD2 42:3;O2 [M-H]-,1753.974571
GD2 42:4;O2 [M-H]-,1751.958921
GD2 43:1;O2 [M-H]-,1772.021522
GD2 43:2;O2 [M-H]-,1770.005872
GD2 43:3;O2 [M-H]-,1767.990221
GD2 44:1;O2 [M-H]-,1786.037172
GD2 44:2;O2 [M-H]-,1784.021522
GD2 44:3;O2 [M-H]-,1782.005872
GD2 44:4;O2 [M-H]-,1779.990221
GD3 32:1;O2 [M-H]-,1414.769998
GD3 32:2;O2 [M-H]-,1412.754348
GD3 33:1;O2 [M-H]-,1428.785648
GD3 34:1;O2 [M-H]-,1442.801298
GD3 34:2;O2 [M-H]-,1440.785648
GD3 35:1;O2 [M-H]-,1456.816949
GD3 35:2;O2 [M-H]-,1454.801298
GD3 36:1;O2 [M-H]-,1470.832599
GD3 36:2;O2 [M-H]-,1468.816949
GD3 36:3;O2 [M-H]-,1466.801298
GD3 36:4;O2 [M-H]-,1464.785648
GD3 38:1;O2 [M-H]-,1498.863899
GD3 38:2;O2 [M-H]-,1496.848249
GD3 38:3;O2 [M-H]-,1494.832599
GD3 39:1;O2 [M-H]-,1512.879549
GD3 40:1;O2 [M-H]-,1526.895199
GD3 40:2;O2 [M-H]-,1524.879549
GD3 40:3;O2 [M-H]-,1522.863899
GD3 40:4;O2 [M-H]-,1520.848249
GD3 41:1;O2 [M-H]-,1540.910849
GD3 41:2;O2 [M-H]-,1538.895199
GD3 42:1;O2 [M-H]-,1554.926499
GD3 42:2;O2 [M-H]-,1552.910849
GD3 42:3;O2 [M-H]-,1550.895199
GD3 42:4;O2 [M-H]-,1548.879549
GD3 43:1;O2 [M-H]-,1568.942149
GD3 43:2;O2 [M-H]-,1566.926499
GD3 43:3;O2 [M-H]-,1564.910849
GD3 44:1;O2 [M-H]-,1582.957799
GD3 44:2;O2 [M-H]-,1580.942149
GD3 44:3;O2 [M-H]-,1578.926499
GD3 44:4;O2 [M-H]-,1576.910849
GM1 32:1;O2 [M-H],1488.8068
GM1 33:1;O2 [M-H],1502.8224
GM1 34:0;O3 [M-H],1534.8487
GM1 34:1;O2 [M-H],1516.8381
GM1 34:1;O3 [M-H],1532.833
GM1 34:2;O2 [M-H],1514.8224
GM1 34:2;O3 [M-H],1530.8173
GM1 35:1;O2 [M-H],1530.8537
GM1 36:1;O2 [M-H],1544.8694
GM1 36:1;O3 [M-H],1560.8643
GM1 36:2;O2 [M-H],1542.8537
GM1 36:2;O3 [M-H],1558.8486
GM1 38:0;O3 [M-H],1590.9113
GM1 38:0;O4 [M-H],1606.9062
GM1 38:1;O2 [M-H],1572.9007
GM1 38:1;O3 [M-H],1588.8956
GM1 38:2;O2 [M-H],1570.885
GM1 38:2;O3 [M-H],1586.8799
GM1 39:1;O2 [M-H],1586.9163
GM1 39:1;O3 [M-H],1602.9112
GM1 40:0;O3 [M-H],1618.9426
GM1 40:0;O4 [M-H],1634.9375
GM1 40:1;O2 [M-H],1600.932
GM1 40:1;O3 [M-H],1616.9269
GM1 40:2;O2 [M-H],1598.9163
GM1 40:2;O3 [M-H],1614.9112
GM1 40:3;O2 [M-H],1596.9007
GM1 40:3;O3 [M-H],1612.8956
GM1 41:0;O3 [M-H],1632.9582
GM1 41:0;O4 [M-H],1648.9531
GM1 41:1;O2 [M-H],1614.9476
GM1 41:1;O3 [M-H],1630.9425
GM1 41:2;O2 [M-H],1612.932
GM1 41:2;O3 [M-H],1628.9269
GM1 42:0;O3 [M-H],1646.9739
GM1 42:0;O4 [M-H],1662.9688
GM1 42:1;O2 [M-H],1628.9633
GM1 42:1;O3 [M-H],1644.9582
GM1 42:1;O4 [M-H],1660.9531
GM1 42:2;O2 [M-H],1626.9476
GM1 42:2;O3 [M-H],1642.9425
GM1 42:2;O4 [M-H],1658.9374
GM1 42:3;O2 [M-H],1624.932
GM1 42:3;O3 [M-H],1640.9269
GM1 42:4;O2 [M-H],1622.9163
GM1 43:0;O3 [M-H],1660.9895
GM1 43:0;O4 [M-H],1676.9844
GM1 43:1;O2 [M-H],1642.9789
GM1 43:1;O3 [M-H],1658.9738
GM1 43:1;O4 [M-H],1674.9687
GM1 43:2;O2 [M-H],1640.9633
GM1 43:2;O3 [M-H],1656.9582
GM1 43:3;O2 [M-H],1638.9476
GM1 43:3;O3 [M-H],1654.9425
GM1 44:0;O3 [M-H],1675.0052
GM1 44:1;O2 [M-H],1656.9946
GM1 44:1;O3 [M-H],1672.9895
GM1 44:1;O4 [M-H],1688.9844
GM1 44:2;O2 [M-H],1654.9789
GM1 44:2;O3 [M-H],1670.9738
GM1 44:3;O2 [M-H],1652.9633
GM1 44:3;O3 [M-H],1668.9582
GM1 44:4;O2 [M-H],1650.9476
GM2 32:1;O2 [M-H],1326.754
GM2 33:1;O2 [M-H],1340.7696
GM2 34:0;O3 [M-H],1372.7959
GM2 34:1;O2 [M-H],1354.7853
GM2 34:1;O3 [M-H],1370.7802
GM2 34:2;O2 [M-H],1352.7696
GM2 34:2;O3 [M-H],1368.7645
GM2 35:1;O2 [M-H],1368.8009
GM2 36:1;O2 [M-H],1382.8166
GM2 36:1;O3 [M-H],1398.8115
GM2 36:2;O2 [M-H],1380.8009
GM2 36:2;O3 [M-H],1396.7958
GM2 38:0;O3 [M-H],1428.8585
GM2 38:0;O4 [M-H],1444.8534
GM2 38:1;O2 [M-H],1410.8479
GM2 38:1;O3 [M-H],1426.8428
GM2 38:2;O2 [M-H],1408.8322
GM2 38:2;O3 [M-H],1424.8271
GM2 38:3;O2 [M-H],1406.8166
GM2 38:3;O3 [M-H],1422.8115
GM2 39:1;O2 [M-H],1424.8635
GM2 39:1;O3 [M-H],1440.8584
GM2 40:0;O3 [M-H],1456.8898
GM2 40:0;O4 [M-H],1472.8847
GM2 40:1;O2 [M-H],1438.8792
GM2 40:1;O3 [M-H],1454.8741
GM2 40:2;O2 [M-H],1436.8635
GM2 40:2;O3 [M-H],1452.8584
GM2 40:3;O2 [M-H],1434.8479
GM2 40:3;O3 [M-H],1450.8428
GM2 41:0;O3 [M-H],1470.9054
GM2 41:0;O4 [M-H],1486.9003
GM2 41:1;O2 [M-H],1452.8948
GM2 41:1;O3 [M-H],1468.8897
GM2 41:2;O2 [M-H],1450.8792
GM2 41:2;O3 [M-H],1466.8741
GM2 42:0;O3 [M-H],1484.9211
GM2 42:0;O4 [M-H],1500.916
GM2 42:1;O2 [M-H],1466.9105
GM2 42:1;O3 [M-H],1482.9054
GM2 42:1;O4 [M-H],1498.9003
GM2 42:2;O2 [M-H],1464.8948
GM2 42:2;O3 [M-H],1480.8897
GM2 42:2;O4 [M-H],1496.8846
GM2 42:3;O2 [M-H],1462.8792
GM2 42:3;O3 [M-H],1478.8741
GM2 42:4;O2 [M-H],1460.8635
GM2 42:4;O3 [M-H],1476.8584
GM2 43:0;O3 [M-H],1498.9367
GM2 43:0;O4 [M-H],1514.9316
GM2 43:1;O2 [M-H],1480.9261
GM2 43:1;O3 [M-H],1496.921
GM2 43:1;O4 [M-H],1512.9159
GM2 43:2;O2 [M-H],1478.9105
GM2 43:2;O3 [M-H],1494.9054
GM2 43:3;O2 [M-H],1476.8948
GM2 43:3;O3 [M-H],1492.8897
GM2 44:0;O3 [M-H],1512.9524
GM2 44:1;O2 [M-H],1494.9418
GM2 44:1;O3 [M-H],1510.9367
GM2 44:1;O4 [M-H],1526.9316
GM2 44:2;O2 [M-H],1492.9261
GM2 44:2;O3 [M-H],1508.921
GM2 44:3;O2 [M-H],1490.9105
GM2 44:3;O3 [M-H],1506.9054
GM2 44:4;O2 [M-H],1488.8948
GM2 44:4;O3 [M-H],1504.8897
GM3 32:1;O2 [M-H],1123.6746
GM3 33:1;O2 [M-H],1137.6902
GM3 34:0;O3 [M-H],1169.7165
GM3 34:1;O2 [M-H],1151.7059
GM3 34:1;O3 [M-H],1167.7008
GM3 34:2;O2 [M-H],1149.6902
GM3 34:2;O3 [M-H],1165.6851
GM3 35:1;O2 [M-H],1165.7215
GM3 36:1;O2 [M-H],1179.7372
GM3 36:1;O3 [M-H],1195.7321
GM3 36:2;O2 [M-H],1177.7215
GM3 36:2;O3 [M-H],1193.7164
GM3 38:0;O3 [M-H],1225.7791
GM3 38:0;O4 [M-H],1241.774
GM3 38:1;O2 [M-H],1207.7685
GM3 38:1;O3 [M-H],1223.7634
GM3 38:2;O2 [M-H],1205.7528
GM3 38:2;O3 [M-H],1221.7477
GM3 38:3;O2 [M-H],1203.7372
GM3 38:3;O3 [M-H],1219.7321
GM3 39:1;O2 [M-H],1221.7841
GM3 39:1;O3 [M-H],1237.779
GM3 40:0;O3 [M-H],1253.8104
GM3 40:0;O4 [M-H],1269.8053
GM3 40:1;O2 [M-H],1235.7998
GM3 40:1;O3 [M-H],1251.7947
GM3 40:2;O2 [M-H],1233.7841
GM3 40:2;O3 [M-H],1249.779
GM3 40:3;O2 [M-H],1231.7685
GM3 40:3;O3 [M-H],1247.7634
GM3 41:0;O3 [M-H],1267.826
GM3 41:0;O4 [M-H],1283.8209
GM3 41:1;O2 [M-H],1249.8154
GM3 41:1;O3 [M-H],1265.8103
GM3 41:2;O2 [M-H],1247.7998
GM3 41:2;O3 [M-H],1263.7947
GM3 42:0;O3 [M-H],1281.8417
GM3 42:0;O4 [M-H],1297.8366
GM3 42:1;O2 [M-H],1263.8311
GM3 42:1;O3 [M-H],1279.826
GM3 42:1;O4 [M-H],1295.8209
GM3 42:2;O2 [M-H],1261.8154
GM3 42:2;O3 [M-H],1277.8103
GM3 42:2;O4 [M-H],1293.8052
GM3 42:3;O2 [M-H],1259.7998
GM3 42:3;O3 [M-H],1275.7947
GM3 42:4;O2 [M-H],1257.7841
GM3 42:4;O3 [M-H],1273.779
GM3 43:0;O3 [M-H],1295.8573
GM3 43:0;O4 [M-H],1311.8522
GM3 43:1;O2 [M-H],1277.8467
GM3 43:1;O3 [M-H],1293.8416
GM3 43:1;O4 [M-H],1309.8365
GM3 43:2;O2 [M-H],1275.8311
GM3 43:2;O3 [M-H],1291.826
GM3 43:3;O2 [M-H],1273.8154
GM3 43:3;O3 [M-H],1289.8103
GM3 44:0;O3 [M-H],1309.873
GM3 44:1;O2 [M-H],1291.8624
GM3 44:1;O3 [M-H],1307.8573
GM3 44:1;O4 [M-H],1323.8522
GM3 44:2;O2 [M-H],1289.8467
GM3 44:2;O3 [M-H],1305.8416
GM3 44:3;O2 [M-H],1287.8311
GM3 44:3;O3 [M-H],1303.826
GM4 32:1;O2 [M-H],961.6218
GM4 33:1;O2 [M-H],975.6374
GM4 34:0;O3 [M-H],1007.6637
GM4 34:1;O2 [M-H],989.6531
GM4 34:1;O3 [M-H],1005.648
GM4 34:2;O2 [M-H],987.6374
GM4 34:2;O3 [M-H],1003.6323
GM4 35:1;O2 [M-H],1003.6687
GM4 36:1;O2 [M-H],1017.6844
GM4 36:1;O3 [M-H],1033.6793
GM4 36:2;O2 [M-H],1015.6687
GM4 36:2;O3 [M-H],1031.6636
GM4 38:0;O3 [M-H],1063.7263
GM4 38:0;O4 [M-H],1079.7212
GM4 38:1;O2 [M-H],1045.7157
GM4 38:1;O3 [M-H],1061.7106
GM4 38:2;O2 [M-H],1043.7
GM4 38:2;O3 [M-H],1059.6949
GM4 38:3;O2 [M-H],1041.6844
GM4 38:3;O3 [M-H],1057.6793
